method,shots,episodes,mse_mean,mse_mean_ci95_lo,mse_mean_ci95_hi,mse_median,mse_iqr,info_gain_mean,decision_ms_mean,decision_ms_p95,per_seed_mse_mean
full,16,1.0,0.1182718276977539,0.1182718276977539,0.1182718276977539,0.1182718276977539,0.0,4.306981086730957,1.3682707503903657,2.818878601101459,777:0.11827183
no_vae,16,1.0,0.10991339385509491,0.10991339385509491,0.10991339385509491,0.10991339385509491,0.0,0.1680927276611328,1.0095312463818118,1.4293875945440957,777:0.10991339
no_graph,16,1.0,0.11259088665246964,0.11259088665246964,0.11259088665246964,0.11259088665246964,0.0,1.1928272247314453,0.9590105000825133,1.2474249939259607,777:0.11259089
random_graph,16,1.0,0.1182718276977539,0.1182718276977539,0.1182718276977539,0.1182718276977539,0.0,4.306981086730957,0.9734792547533289,1.3449713522277305,777:0.11827183
no_transformer,16,1.0,0.10208611190319061,0.10208611190319061,0.10208611190319061,0.10208611190319061,0.0,10.120267391204834,0.48792699817568064,0.7448499956808518,777:0.10208611
no_smc_feedback,16,1.0,0.12263177335262299,0.12263177335262299,0.12263177335262299,0.12263177335262299,0.0,2.8864593505859375,1.029322749673156,1.451703649945557,777:0.12263177
belief_mean_only,16,1.0,0.11467494815587997,0.11467494815587997,0.11467494815587997,0.11467494815587997,0.0,0.033232688903808594,0.996895494608907,1.416153600439429,777:0.11467495
belief_cov_only,16,1.0,0.11444805562496185,0.11444805562496185,0.11444805562496185,0.11444805562496185,0.0,0.029878616333007812,1.0718539961089846,1.464158042654162,777:0.11444806
history_5,16,1.0,0.11745616048574448,0.11745616048574448,0.11745616048574448,0.11745616048574448,0.0,4.0606584548950195,0.9775935031939298,1.3435955101158468,777:0.11745616
history_40,16,1.0,0.14580807089805603,0.14580807089805603,0.14580807089805603,0.14580807089805603,0.0,5.616852760314941,1.0630209944793023,1.4720937411766497,777:0.14580807
star_graph,16,1.0,0.1182718276977539,0.1182718276977539,0.1182718276977539,0.1182718276977539,0.0,4.306981086730957,0.9783332534425426,1.3255062454845754,777:0.11827183
mlp_only,16,1.0,0.11444805562496185,0.11444805562496185,0.11444805562496185,0.11444805562496185,0.0,0.029878616333007812,0.3002605008077808,0.4508295060077216,777:0.11444806
