shots,baseline,paired_tasks,mse_ratio,mse_ratio_ci95_lo,mse_ratio_ci95_hi,latency_speedup,latency_speedup_ci95_lo,latency_speedup_ci95_hi,wilcoxon_p_bh,cliffs_delta
128,bald_2step_fast,2500,1.3228056306935538,1.2881905937530689,1.3564170554165205,47.131129179183375,46.991942186764035,47.27727086694184,2.8454755129151425e-116,0.4066464
128,dad_transformer,2500,1.0430679093618784,1.034088057657679,1.0518963007435058,0.5550377051220776,0.5541874736992707,0.5559262035802736,2.179649775461376e-18,0.08179808
128,fisher_greedy_fast,2500,1.9718514799774698,1.9095661331348768,2.0323501903516337,72.59943503511214,72.42435082140597,72.79684491006384,2.779450517914666e-307,0.71643808
128,fixed,2500,1.712394525169802,1.6723362653098026,1.7531795639873138,0.0007528439374927671,0.0007506922509719012,0.0007548584144664565,3.6117120172403915e-301,0.66107712
128,fixed_optimized,2500,2.38496287530997,2.309560074852357,2.4663876578180313,0.010479524769339648,0.003414643403547395,0.019323637894100104,0.0,0.79578688
128,random,2500,1.7303207660176971,1.6841816730141015,1.7793119846721719,0.019022267002307025,0.018765753143970106,0.01927563133773392,1.0407476176084215e-263,0.647184
512,bald_2step_fast,2500,1.4218770286328997,1.38464723387163,1.4631758113406712,53.68404961450425,53.51448777673206,53.872114810197104,5.735881357369365e-148,0.46336832
512,dad_transformer,2500,1.0095955190394517,1.0001621190086563,1.020629919409295,0.5440777905259155,0.5431262301787979,0.5450092854030041,0.12209256097822538,0.02513088
512,fisher_greedy_fast,2500,2.292542392235747,2.2019996312053776,2.3769516914663087,83.68267427347513,83.38916660714345,83.9638281712686,0.0,0.76673792
512,fixed,2500,2.36117739262323,2.2950891130252913,2.4300471780416477,0.0007027420340799266,0.0007009728474639046,0.00070454233723291,0.0,0.81860192
512,fixed_optimized,2500,2.785420280972092,2.6153435978922523,2.969994464075314,0.010012853009379897,0.0032023650221890973,0.01853049809649183,0.0,0.84407264
512,random,2500,2.055227124063439,1.987432272376459,2.1235251133516932,0.018428223252042686,0.01835697978442765,0.018500335819569422,0.0,0.7179008
