method,shots,horizon,shot_time_us,decision_ms_mean,smc_update_ms_mean,quantum_ms_per_step,classical_ms_per_step,total_episode_time_ms
random,128,36,100.0,0.014362314383982232,41.18942084100477,12.8,41.20378315538875,1944.1361935939951
random,128,36,1000.0,0.014362314383982232,41.18942084100477,128.0,41.20378315538875,6091.336193593995
random,128,36,10000.0,0.014362314383982232,41.18942084100477,1280.0,41.20378315538875,47563.33619359399
fixed,128,36,100.0,0.0020176384541964916,41.85448122874152,12.8,41.85649886719572,1967.6339592190457
fixed,128,36,1000.0,0.0020176384541964916,41.85448122874152,128.0,41.85649886719572,6114.833959219046
fixed,128,36,10000.0,0.0020176384541964916,41.85448122874152,1280.0,41.85649886719572,47586.83395921904
fixed_optimized,128,36,100.0,0.024893162832422946,45.45531580444314,12.8,45.48020896727556,2098.08752282192
fixed_optimized,128,36,1000.0,0.024893162832422946,45.45531580444314,128.0,45.48020896727556,6245.28752282192
fixed_optimized,128,36,10000.0,0.024893162832422946,45.45531580444314,1280.0,45.48020896727556,47717.28752282192
fisher_greedy_fast,128,36,100.0,108.77979608931949,0.2772123947420537,12.8,109.05700848406154,4386.852305426215
fisher_greedy_fast,128,36,1000.0,108.77979608931949,0.2772123947420537,128.0,109.05700848406154,8534.052305426216
fisher_greedy_fast,128,36,10000.0,108.77979608931949,0.2772123947420537,1280.0,109.05700848406154,50006.052305426216
bald_2step_fast,128,36,100.0,68.18282560993815,0.26934913548218364,12.8,68.45217474542034,2925.078290835132
bald_2step_fast,128,36,1000.0,68.18282560993815,0.26934913548218364,128.0,68.45217474542034,7072.278290835132
bald_2step_fast,128,36,10000.0,68.18282560993815,0.26934913548218364,1280.0,68.45217474542034,48544.27829083513
symqnet,128,36,100.0,1.5149191626028538,8.287704293717441,12.8,9.802623456320294,813.6944444275306
symqnet,128,36,1000.0,1.5149191626028538,8.287704293717441,128.0,9.802623456320294,4960.894444427531
symqnet,128,36,10000.0,1.5149191626028538,8.287704293717441,1280.0,9.802623456320294,46432.89444442753
symqnet,128,36,100.0,1.5356344016725885,5.883249374949459,12.8,7.418883776622048,727.8798159583938
symqnet,128,36,1000.0,1.5356344016725885,5.883249374949459,128.0,7.418883776622048,4875.079815958394
symqnet,128,36,10000.0,1.5356344016725885,5.883249374949459,1280.0,7.418883776622048,46347.07981595839
symqnet,128,36,100.0,1.5576837923791675,5.926765615109752,12.8,7.48444940748892,730.2401786696012
symqnet,128,36,1000.0,1.5576837923791675,5.926765615109752,128.0,7.48444940748892,4877.440178669602
symqnet,128,36,10000.0,1.5576837923791675,5.926765615109752,1280.0,7.48444940748892,46349.4401786696
